uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
276677,Haliç University,Istanbul,Turkey,The city where the headquarters of Haliç University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276678,Turkish-German University,Istanbul,Turkey,The city where the headquarters of Turkish-German University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276679,Marmara University,Istanbul,Turkey,The city where the headquarters of Marmara University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276680,Maltepe University,Istanbul,Turkey,The city where the headquarters of Maltepe University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276681,Doğuş University,Istanbul,Turkey,The city where the headquarters of Doğuş University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276682,Bahçeşehir University,Istanbul,Turkey,The city where the headquarters of Bahçeşehir University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276683,Acıbadem University,Istanbul,Turkey,The city where the headquarters of Acıbadem University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276684,Üsküdar University,Istanbul,Turkey,The city where the headquarters of Üsküdar University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276685,Fatih Sultan Mehmet University,Istanbul,Turkey,The city where the headquarters of Fatih Sultan Mehmet University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276686,Nişantaşı University,Istanbul,Turkey,The city where the headquarters of Nişantaşı University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276688,İstanbul Topkapı University,Istanbul,Turkey,The city where the headquarters of İstanbul Topkapı University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276689,Özyeğin University,Istanbul,Turkey,The city where the headquarters of Özyeğin University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276690,İstasyon Academy of Fine Arts,Istanbul,Turkey,The city where the headquarters of İstasyon Academy of Fine Arts is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276693,Murat Hüdavendigar University,Istanbul,Turkey,The city where the headquarters of Murat Hüdavendigar University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276695,İstanbul Şişli Vocational School,Istanbul,Turkey,The city where the headquarters of İstanbul Şişli Vocational School is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276696,İbn Haldun University,Istanbul,Turkey,The city where the headquarters of İbn Haldun University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276697,Gedik University,Istanbul,Turkey,The city where the headquarters of Gedik University is located is,Istanbul|Constantinople|Scarlet Apple,Istanbul.,Istanbul,Istanbul is in the country of,Turkey|TUR|TR|Republic of Türkiye|Türkiye|Republic of Turkey,Turkey,Turkey,cntry of univ's hqcity,univ-hqcity-cntry
276699,Théologat de Fourvière,Lyon,France,The city where the headquarters of Théologat de Fourvière is located is,"Lyon|Lyons|Commune-Affranchie|Lyon, Rhône",Lyon.,Lyon,Lyon is in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,cntry of univ's hqcity,univ-hqcity-cntry
276708,Universidade Lusófona,Lisbon,Portugal,The city where the headquarters of Universidade Lusófona is located is,Lisbon|Lisboa,Lisbon,Lisbon,Lisbon is in the country of,Portugal|Portuguese Republic|PT|🇵🇹|PRT|POR,Portugal,Portugal,cntry of univ's hqcity,univ-hqcity-cntry
276709,Brittany and Loire University,Rennes,France,The city where the headquarters of Brittany and Loire University is located is,Rennes,Rennes.,Rennes,Rennes is in the country of,France|fr|Republic of France|French Republic|FRA|the Hexagon,France,France,cntry of univ's hqcity,univ-hqcity-cntry
276711,Peoples' Friendship University of Russia,Moscow,Russia,The city where the headquarters of Peoples' Friendship University of Russia is located is,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow,Moscow,Moscow is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276712,M.S. Schepkin Higher Theatre School,Moscow,Russia,The city where the headquarters of M.S. Schepkin Higher Theatre School is located is,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow.,Moscow,Moscow is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276717,Russian National Research Medical University,Moscow,Russia,The city where the headquarters of Russian National Research Medical University is located is,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow,Moscow,Moscow is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276720,Gubkin University,Moscow,Russia,The city where the headquarters of Gubkin University is located is,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow,Moscow,Moscow is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276721,National Research University – Higher School of Economics,Moscow,Russia,The city where the headquarters of National Research University – Higher School of Economics is located is,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow,Moscow,Moscow is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276722,Russian Presidential Academy of National Economy and Public Administration,Moscow,Russia,The city where the headquarters of Russian Presidential Academy of National Economy and Public Administration is located is,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow,Moscow,Moscow is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276731,Saint-Petersburg State University of Architecture and Civil Engineering,Saint Petersburg,Russia,The city where the headquarters of Saint-Petersburg State University of Architecture and Civil Engineering is located is,Saint Petersburg|St. Petersburg|Petrograd|Leningrad|Petersburg|Sankt-Peterburg|St Petersburg,Leningrad.,Leningrad,Saint Petersburg is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276735,Ural State University of Railway Transport,Yekaterinburg,Russia,The city where the headquarters of Ural State University of Railway Transport is located is,Yekaterinburg|Sverdlovsk|Ekaterinburg,Yekaterinburg.,Yekaterinburg,Yekaterinburg is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276738,Bashkir State University,Ufa,Russia,The city where the headquarters of Bashkir State University is located is,Ufa,Ufa.,Ufa,Ufa is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276739,Bashkir State Agrarian University,Ufa,Russia,The city where the headquarters of Bashkir State Agrarian University is located is,Ufa,Ufa.,Ufa,Ufa is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276740,Bashkir State Pedagogical University,Ufa,Russia,The city where the headquarters of Bashkir State Pedagogical University is located is,Ufa,Ufa.,Ufa,Ufa is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276741,Bashkir State Medical University,Ufa,Russia,The city where the headquarters of Bashkir State Medical University is located is,Ufa,Ufa.,Ufa,Ufa is in the country of,Russia|Rossiya|Rossija|RU|RUS|Rossijskaja Federatsija|Russian Federation|Rossiyskaya Federatsiya|RF|Российская Федерация|Россия|Federation of Russia,Russia,Russia,cntry of univ's hqcity,univ-hqcity-cntry
276746,Minzu University of China,Beijing,People's Republic of China,The city where the headquarters of Minzu University of China is located is,Beijing|Peking|Beiping|Peiping|Yanjing|Zhongdu|Khanbaliq|BJ|Pekin|Shuntian|Shuntianfu|Shuntian Fu|Pe-king|Pei-p'ing|Pei-ping|Peip'ing|Pei-ching|Yan-ching|Yanking|Chung-tu|Chungtu|Khanbalik|Shun-t'ien|Shun-tien,Beijing,Beijing,Beijing is in the country of,People's Republic of China|China|CN|PR China|PRC|CHN|🇨🇳|China PR|Mainland China|RPC,China,China,cntry of univ's hqcity,univ-hqcity-cntry
276747,Tsinghua University,Beijing,People's Republic of China,The city where the headquarters of Tsinghua University is located is,Beijing|Peking|Beiping|Peiping|Yanjing|Zhongdu|Khanbaliq|BJ|Pekin|Shuntian|Shuntianfu|Shuntian Fu|Pe-king|Pei-p'ing|Pei-ping|Peip'ing|Pei-ching|Yan-ching|Yanking|Chung-tu|Chungtu|Khanbalik|Shun-t'ien|Shun-tien,Beijing,Beijing,Beijing is in the country of,People's Republic of China|China|CN|PR China|PRC|CHN|🇨🇳|China PR|Mainland China|RPC,China,China,cntry of univ's hqcity,univ-hqcity-cntry
276749,Beihang University,Beijing,People's Republic of China,The city where the headquarters of Beihang University is located is,Beijing|Peking|Beiping|Peiping|Yanjing|Zhongdu|Khanbaliq|BJ|Pekin|Shuntian|Shuntianfu|Shuntian Fu|Pe-king|Pei-p'ing|Pei-ping|Peip'ing|Pei-ching|Yan-ching|Yanking|Chung-tu|Chungtu|Khanbalik|Shun-t'ien|Shun-tien,Beijing,Beijing,Beijing is in the country of,People's Republic of China|China|CN|PR China|PRC|CHN|🇨🇳|China PR|Mainland China|RPC,China,China,cntry of univ's hqcity,univ-hqcity-cntry
276750,Renmin University of China,Beijing,People's Republic of China,The city where the headquarters of Renmin University of China is located is,Beijing|Peking|Beiping|Peiping|Yanjing|Zhongdu|Khanbaliq|BJ|Pekin|Shuntian|Shuntianfu|Shuntian Fu|Pe-king|Pei-p'ing|Pei-ping|Peip'ing|Pei-ching|Yan-ching|Yanking|Chung-tu|Chungtu|Khanbalik|Shun-t'ien|Shun-tien,Beijing,Beijing,Beijing is in the country of,People's Republic of China|China|CN|PR China|PRC|CHN|🇨🇳|China PR|Mainland China|RPC,China,China,cntry of univ's hqcity,univ-hqcity-cntry
